VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone
7,2025-06-01 00:36:14,2025-06-01 00:36:14,2,5.43,1,N,90,181,1,31.0,0.0,0.5,2.0,0.0,1.0,38.75,2.5,0.0,0.75,Manhattan,Flatiron,Yellow Zone,Brooklyn,Park Slope,Boro Zone
2,2025-06-01 00:04:37,2025-06-01 00:31:21,1,15.21,1,N,132,130,1,58.3,1.0,0.5,18.76,0.0,1.0,81.31,0.0,1.75,0.0,Queens,JFK Airport,Airports,Queens,Jamaica,Boro Zone
2,2025-06-01 00:44:58,2025-06-01 00:47:50,2,0.78,1,N,263,141,1,5.8,1.0,0.5,2.16,0.0,1.0,12.96,2.5,0.0,0.0,Manhattan,Yorkville West,Yellow Zone,Manhattan,Lenox Hill West,Yellow Zone
2,2025-06-01 00:29:10,2025-06-01 00:37:53,1,1.12,1,N,162,50,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75,Manhattan,Midtown East,Yellow Zone,Manhattan,Clinton West,Yellow Zone
2,2025-06-01 00:55:06,2025-06-01 01:10:08,1,2.76,1,N,186,239,1,16.3,1.0,0.5,4.41,0.0,1.0,26.46,2.5,0.0,0.75,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Upper West Side South,Yellow Zone
2,2025-06-01 00:04:29,2025-06-01 00:09:57,1,0.71,1,N,148,114,1,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75,Manhattan,Lower East Side,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
1,2025-06-01 00:50:35,2025-06-01 00:57:02,1,1.0,1,N,148,79,1,7.9,4.25,0.5,2.7,0.0,1.0,16.35,2.5,0.0,0.75,Manhattan,Lower East Side,Yellow Zone,Manhattan,East Village,Yellow Zone
2,2025-06-01 00:27:21,2025-06-01 00:40:09,1,2.38,1,N,4,170,1,14.2,1.0,0.5,3.99,0.0,1.0,23.94,2.5,0.0,0.75,Manhattan,Alphabet City,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
2,2025-06-01 00:18:24,2025-06-01 00:31:07,1,3.55,1,N,79,88,1,17.7,1.0,0.5,0.0,0.0,1.0,23.45,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Financial District South,Yellow Zone
1,2025-06-01 00:08:25,2025-06-01 00:20:12,1,1.2,1,N,186,137,1,11.4,4.25,0.5,3.4,0.0,1.0,20.55,2.5,0.0,0.75,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Kips Bay,Yellow Zone
